GEO_ID,NAME,K-12,Total Enrolled in School 3+
12001,"Alachua County, Florida",32281,92264
12003,"Baker County, Florida",4877,6471
12005,"Bay County, Florida",27894,40380
12007,"Bradford County, Florida",4007,5315
12009,"Brevard County, Florida",82507,123632
12011,"Broward County, Florida",304643,475572
12013,"Calhoun County, Florida",2381,3036
12015,"Charlotte County, Florida",17122,24519
12017,"Citrus County, Florida",16648,22187
12019,"Clay County, Florida",38251,54685
12021,"Collier County, Florida",47994,65701
12023,"Columbia County, Florida",10974,14579
12027,"DeSoto County, Florida",5599,6698
12029,"Dixie County, Florida",2352,2892
12031,"Duval County, Florida",149415,226037
12033,"Escambia County, Florida",47265,76677
12035,"Flagler County, Florida",15061,20895
12037,"Franklin County, Florida",1482,1859
12039,"Gadsden County, Florida",7902,10748
12041,"Gilchrist County, Florida",3025,3894
12043,"Glades County, Florida",1878,2493
12045,"Gulf County, Florida",1929,2737
12047,"Hamilton County, Florida",2363,2857
12049,"Hardee County, Florida",5363,6499
12051,"Hendry County, Florida",7801,9959
12053,"Hernando County, Florida",26157,35749
12055,"Highlands County, Florida",12601,16841
12057,"Hillsborough County, Florida",232026,359686
12059,"Holmes County, Florida",2863,3752
12061,"Indian River County, Florida",19431,26962
12063,"Jackson County, Florida",6788,9479
12065,"Jefferson County, Florida",1742,2439
12067,"Lafayette County, Florida",1570,2206
12069,"Lake County, Florida",50560,69066
12071,"Lee County, Florida",99689,143251
12073,"Leon County, Florida",40343,103229
12075,"Levy County, Florida",5879,8075
12077,"Liberty County, Florida",1341,1734
12079,"Madison County, Florida",2681,3569
12081,"Manatee County, Florida",52511,73294
12083,"Marion County, Florida",49299,66953
12085,"Martin County, Florida",20456,28780
12086,"Miami-Dade County, Florida",405836,661117
12087,"Monroe County, Florida",8204,11999
12089,"Nassau County, Florida",12480,16977
12091,"Okaloosa County, Florida",31839,46808
12093,"Okeechobee County, Florida",6534,8094
12095,"Orange County, Florida",218722,365516
12097,"Osceola County, Florida",64569,90723
12099,"Palm Beach County, Florida",211072,324367
12101,"Pasco County, Florida",77647,110153
12103,"Pinellas County, Florida",115418,181115
12105,"Polk County, Florida",113158,155378
12107,"Putnam County, Florida",11767,15367
12109,"St. Johns County, Florida",41549,59478
12111,"St. Lucie County, Florida",46549,67262
12113,"Santa Rosa County, Florida",29212,41353
12115,"Sarasota County, Florida",46360,65198
12117,"Seminole County, Florida",73167,117636
12119,"Sumter County, Florida",7212,9424
12121,"Suwannee County, Florida",7184,9591
12123,"Taylor County, Florida",3323,4273
12125,"Union County, Florida",1726,2458
12127,"Volusia County, Florida",71682,110802
12129,"Wakulla County, Florida",5457,7377
12131,"Walton County, Florida",9859,13423
12133,"Washington County, Florida",3708,4646